line_1,line_2,line_3
distant thunder,a boy sets his coin,on the rail track
daybreak,the fox's breath thinning,in the frost hollow
almond blossom,the stillness,after love
spring heat -,the imprint of grass,in her thighs
heat shimmer,the first blooming,railroad flowers
railroad dusk -,a needle amongst,the ballast stones
endless stars...,the braille on the box,of sleeping pills
thinning moon,the clock set deeper,into autumn
Central Park,the echo of her voice,in every direction
north wind . . .,I too was a hippie',the cabbie says
faltering light ...,alone with the cry,of a loon
flood of moonlight ...,"the drip, drip, drip",of her lingerie
winter raindrops,along a strand of barbed wire --,visiting day
in and out,of the confessional,winter light
motel night,alone with the moans,of winter wind
I used to be ...',at the corners of his mouth,saliva stains
the flicker,of a vigil candle,year's end
street corner at dusk ...,a middle-aged man wrapped,in last week's news
wolf moon,a stranger's smell,on her body
breakup kiss ...,the line between sky,and winter sea
french kissing,on the bridge with love locks,two pink-haired girls
starless night,a lantern boat sailing,out to sea
kites tangle,in summer twilight,father and son
the clattering,of mahjong tiles ...,summer rain
the end,of a chalk rainbow --,foreclosure sign
downsizing ...,a winter star and I,in the puddle
slanted sunlight,in the Meditation Hall,a drift of dust
cherry blossom rain,laughter,chasing laughter
moonlit pond ...,a frog jumps,from star to star
sourdough smell of age,the cold rain pattering,against motel windows
blood-red earth,pattering on his coffin,winter rain
long way home ...,windshield wipers clear,the silence between us
the space,between etched names...,war cenotaph
pinned butterfly ...,needle marks,on the girlâs left arm
"""Now Hiring""",flaps in the winter wind ...,last rays of sunlight
faraway whistle,of the night train . . .,mother's lullaby
the meaty grin,of her red-lipped mouth,my divorce lawyer
snowy dawn ...,bits of yesterday,cling to today
a dried lotus leaf,in Tibetan Book of the Dead...,winter dusk
the darkness,between winter stars ...,relapse
Goodwill Window Sale,homeless man's reflection,and mine
the rail tracks,toward a harvest moon,thoughts of home
among mourners,this cloak of silence,between crows
her laugh echoes,through the empty house,the sound of snow
breezy morning,the scent of steamed buns,ends meditation
filling the hour,between news of war,snowflakes
writing haiku ...,my wine glass fills,with sunlight
"""I'm married"" ...",ice cubes shifting,in her wine glass
mist trailing,over the autumn fields . . .,a raven's cry
yellow ball of yarn,in my motherâs hand,harvest moon
one year gone,on her side of the bed,winter moonlight
a paper cut,from her dear john letter,Friday the 13th
blind date,her face half revealed,in moonlight
noonday heat,a white man staring at me,me staring back
rose branches,weighed down with snow ...,hospice garden
another new grave,in winter mist,war cemetery
forget-me-nots,along the border fence,refugee children
Rated R --,the orgasm,of sudden rain
distant gunshots ...,sunflower petals,fold into night
midnight moon...,one long howl,and then no more
"""dust to dust . . .Â """,the widow's shadow,on the coffin
the stare,of a newborn ...,starry night
the click,of her red high heels ...,divorce court
her short life,packed in an urn,smell of winter
drifts of fog ...,first job interview,in one year
summer storm,the windscreen wipers,slice our silence
fireworks show,the migrant speaks of the home,he left behind
a latch clicks,on the vacant house ...,winter solstice
first day of spring,the lingering scent,of rare books
faint pencil marks,on the wall --,her dead child's room
the smell,of summer heat ...,roadkill
foreclosure sign,in its shadow,a dollhouse
one by one,frogs make holes in the pond ...,starry night
a butterfly,tattooed on her buttock,summer heat
a new moon --,mother's letter heavy,with voices from the past
alone by candlelight,thinking of that spring we met,and another springâ¦
spicy chicken â¦,this impulse to ask,if she's married
church graveyard,a cloud of crows hover,over stone angels
photoshopping,my wedding pictures,winter solstice
after-party,we blow out candles,to hear the stars
her hips,sway our debate on sex,summer heat
the cold moon...,I recycle a dream,from my youth
night deepening,the office secretary adjusts,her low-cut top
divorce talk,each sip of tea more bitter,than the last
prairie...,between heaven and earth,an eagle
a fork in the trail,the wind takes,our old map
her nose print,on the hospice window ..,a patch of sunlight
snow on snow â¦,the depth of night,in this attic
Gaza at twilightâ¦,crying old tears,at a new funeral
a crowâs cry ...,the winter sky darkens,into the prairie
a long line of cars,behind the hearse,migrating snow geese
between cries,of neighbor's baby,symphony no. 9
traveling,far away in thought ...,hospice window
harvest moon rising ...,a tremble,in the migrant's voice
therapy session:,winter rain on the window,deepens the silence
a white butterfly,flitting through the stillness ...,church grave yard
distant sirens,over the border bridge,a blood moon
a pigtailed girl,outside the cancer center,morning glories
her face,in my whiisky,the moon floats
one by one,fireflies escape my glass jar...,starry night
the rice song,mother sang to me ...,first spring rain
first glimpse,of her mastectomy bra,winter rose
hospice verandah ...,a girl opens her mouth,to spring rain
surge of the wind ...,talk of war fading,into silence
first kiss --,behind the bookshelf,her scent lingers
blind date,cobra tattoo rising,from her cleavage
summer's end,my footprints in the sand,a little deeper
twilight moon --,a hole in the chestnut,fills with stars
her black hair,veils our praying hands ...,hospice church at dusk
offshoring jobs...,the last glow of sunset,at the horizon
Brittle scent,of a summer storm,lightning's sillage
sound of a moth,trapped in a paper lantern,summer rain
oh blue-haired girl,your stockings and Docs make me,a little older
frozen again,under soft spring snow,concrete cracks
climbing,the way her work heels,hang off the steps
cold autumn wind,in all the cracks,eyes of barn cats
Urologistâs office-,the framed photograph,of the falls
the clatter,of machines,third shift
abandoned farmhouse-,autumn twilight darkest,in the empty windows
"off the trail,","on the trail,",grasshopper...
farm auction-,fields filled with goldenrods,and asters
spring frost --,the park cannon aimed,at the church
sunny day,a wasp tastes,everyone's beer
withered roses--,a bald woman waits,for the taxi
dusk--,the mason jar filled,with fireflies
crashing waves-,my thoughts move,with the tide
house for sale,the apricot tree in bloom,as never before
northern lights,steam rises,from the coffee cup
a granita before,the afternoon shift,short shadows
two moons,somewhere between ports,she tells him it's over
lengthening shadows,things best said,in a letter
piercing stones,all along the promenade,cicadas and ringtones
too hot to shop,wasps drinking from,a town fountain
our parting kiss,a mixture of salt,and sweet peppers
October rain,all through the night,my kidney stone
the soldier looks,back over his shoulder,autumn grass
half-way home,a pint of stout,to keep out the cold
in from the cold,just one sugar cube more,in my coffee
first juice,a lone wasp explores,the apple press
first buttercup,three lines of coke,on the kitchen table
chrysanthamums,the homeless girl pulls,her baby closer
tube ride,someone else's iPod,is playing our tune
too hot to sleep,i search for my son's footprint,in the front drive
working late,the sound of a small brown moth,in the lampshade
hedgerow birds,three boys share a spliff,by the school gate
sunshine and snow,the boys in the reserves,watch the letterbox
needle exchange,sharing a breakfast drink,in Museum Square
mayflowers,three small boys track down,terrorists
boy's bedroom,a blackbird's nest,found deep in the lilac
teeth in a glass,the nurse takes away his pot,of blue hyacinths
chilled by spring winds,schoolgirls sniffing body spray,behind the gym
a lost child,in a ward of iron lungs,her daffodils
almost home,the full moon between,two houses
afternoon tea --,the old climbing rose,somehow whiter
Eucharist,pious women still weeping,for Jesus
winter wonderland,even the burnt out car,looks beautiful
almost Christmas ~,thinking how best to reveal,that dad beats mum
circle time,she describes her mother,finding a vein
sun rising,suddenly the sumac,bursts into flame
the moon,not quite full,but full enough
Wedding Day -,in the bride's eyes,the groom's smile
imagine,a field of dandelion fluffs,before the wind
midnight rain?,now every minute,"the grass, greening"
the cold cry,of a magpie?,first light of day
winter driving,almost blinded,by a sun-dog
sun's rise,the voices of crows,lift it higher
Canada Day,this country and I,aging together
ocean playground,the way memories come and go,with the tide
